alert,Dynamite670,0
PWND,Strudels,0
Squirrel,Rin,1
Hehe,alert,0
Sir Fresh,DiskEye,0
Floofy,Starblazer626,0
Cheese,UmbrionKnight,1
Creamy,PWND,0
Noodles,Javi,0
Lewton,Rin,0
RenoMO,Billy Herrington,0
Hehe,Sir Fresh,0
Floofy,UmbrionKnight,1
Creamy,Noodles,0
Lewton,RenoMO,0
Hehe,UmbrionKnight,0
Creamy,Lewton,0
Hehe,Creamy,0
Billy Herrington,Dynamite670,0
Cheese,Strudels,0
DiskEye,Squirrel,1
Rin,Billy Herrington,0
Javi,PWND,1
Starblazer626,Cheese,1
alert,Squirrel,0
Floofy,Rin,1
Sir Fresh,PWND,1
RenoMO,Cheese,1
Noodles,alert,0
Rin,Sir Fresh,1
Cheese,Noodles,1
Lewton,Sir Fresh,0
UmbrionKnight,Noodles,0
Lewton,UmbrionKnight,0
Creamy,Lewton,0
Hehe,Creamy,1
Creamy,Hehe,0
